date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:50	28011/28011	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080db0-6d6b%22	https://colorlib.com/polygon/vendors/cropper/dist/cropper.min.js	D:/demo/colorlib.com/polygon/vendors/cropper/dist/cropper.min.js	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
18:14:51	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	D:/demo/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://colorlib.com/polygon/gentelella/form_validation.html)
18:14:51	1164/1164	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0824d0-7af%22	https://colorlib.com/polygon/vendors/validator/multifield.js	D:/demo/colorlib.com/polygon/vendors/validator/multifield.js	(from https://colorlib.com/polygon/gentelella/form_validation.html)
18:14:51	10102/10102	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0824ce-5921%22	https://colorlib.com/polygon/vendors/validator/validator.js	D:/demo/colorlib.com/polygon/vendors/validator/validator.js	(from https://colorlib.com/polygon/gentelella/form_validation.html)
18:14:52	10404/10404	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f082214-42b2%22	https://colorlib.com/polygon/vendors/jQuery-Smart-Wizard/js/jquery.smartWizard.js	D:/demo/colorlib.com/polygon/vendors/jQuery-Smart-Wizard/js/jquery.smartWizard.js	(from https://colorlib.com/polygon/gentelella/form_wizards.html)
18:14:52	9717/9717	---MCZ	200	added ('OK')	text/css	etag:W/%225f080f30-25f5%22	https://colorlib.com/polygon/vendors/dropzone/dist/min/dropzone.min.css	D:/demo/colorlib.com/polygon/vendors/dropzone/dist/min/dropzone.min.css	(from https://colorlib.com/polygon/gentelella/form_upload.html)
18:14:52	33588/33588	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f080f31-8334%22	https://colorlib.com/polygon/vendors/dropzone/dist/min/dropzone.min.js	D:/demo/colorlib.com/polygon/vendors/dropzone/dist/min/dropzone.min.js	(from https://colorlib.com/polygon/gentelella/form_upload.html)
18:14:52	1986/1986	---MCZ	200	added ('OK')	text/css	etag:W/%225f0823ec-7c2%22	https://colorlib.com/polygon/vendors/pnotify/dist/pnotify.css	D:/demo/colorlib.com/polygon/vendors/pnotify/dist/pnotify.css	(from https://colorlib.com/polygon/gentelella/general_elements.html)
18:14:53	68/68	---MCZ	200	added ('OK')	text/css	etag:W/%225f0823ea-44%22	https://colorlib.com/polygon/vendors/pnotify/dist/pnotify.buttons.css	D:/demo/colorlib.com/polygon/vendors/pnotify/dist/pnotify.buttons.css	(from https://colorlib.com/polygon/gentelella/general_elements.html)
18:14:53	108/108	---MCZ	200	added ('OK')	text/css	etag:W/%225f0823e9-6c%22	https://colorlib.com/polygon/vendors/pnotify/dist/pnotify.nonblock.css	D:/demo/colorlib.com/polygon/vendors/pnotify/dist/pnotify.nonblock.css	(from https://colorlib.com/polygon/gentelella/general_elements.html)
18:14:53	13234/13234	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0823e9-342f%22	https://colorlib.com/polygon/vendors/pnotify/dist/pnotify.js	D:/demo/colorlib.com/polygon/vendors/pnotify/dist/pnotify.js	(from https://colorlib.com/polygon/gentelella/general_elements.html)
18:14:53	4014/4014	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0823ec-fb6%22	https://colorlib.com/polygon/vendors/pnotify/dist/pnotify.buttons.js	D:/demo/colorlib.com/polygon/vendors/pnotify/dist/pnotify.buttons.js	(from https://colorlib.com/polygon/gentelella/general_elements.html)
18:14:54	2596/2596	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f0823eb-a2a%22	https://colorlib.com/polygon/vendors/pnotify/dist/pnotify.nonblock.js	D:/demo/colorlib.com/polygon/vendors/pnotify/dist/pnotify.nonblock.js	(from https://colorlib.com/polygon/gentelella/general_elements.html)
18:14:54	7627/7627	---M--	200	added ('OK')	image/png	etag:%225f05ce5f-1dcb%22	https://colorlib.com/polygon/gentelella/images/user.png	D:/demo/colorlib.com/polygon/gentelella/images/user.png	(from https://colorlib.com/polygon/gentelella/widgets.html)
18:14:55	3950/3950	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f08222a-f6e%22	https://colorlib.com/polygon/vendors/jquery.easy-pie-chart/dist/jquery.easypiechart.min.js	D:/demo/colorlib.com/polygon/vendors/jquery.easy-pie-chart/dist/jquery.easypiechart.min.js	(from https://colorlib.com/polygon/gentelella/widgets.html)
